Name,M,P,A,R,Location,Address,State,Directions,Lat,Lng,Schedule,Time,Contact,Caller,Website,Status
Happy Feet Dancers,yes,no,no,no,Masonic Hall,"2400 Consistory Ct., Grand Junction, CO",CO,,,,,,(970) 243-5858,Maxine Springer,""
High Country Squares,yes,yes,no,no,PLPOA Clubhouse,"230 Port Avenue, Pagosa Springs, CO",CO,,,,,,(970) 731-2028,Lloyd Husted,""
Dancing Shadows,yes,no,no,no,Enterprise Community Hall,"1477 19 Road, Fruita, CO",CO,,,,,,(970) 434-3543,Pat McBride,""
Fallen Arches,yes,no,no,no,Moab Civic Center,"182 N 500 W, Moab, UT",UT,,,,,,(435) 259-2724,Richard Berry,""
Windmill Spinners,no,no,yes,no,VFW Post 4663 Hall,"3244 F 1/4 Road, Clifton, CO",CO,,,,Every Thursday,,(970) 243-1887,Dan Seely,""
Levi's & Lace,yes,no,no,no,Masonic Hall,"2400 Consistory Ct., Grand Junction, CO",CO,,,,,,(970) 241-3683,Lamar Podbevsek/Maxine Springer,""
San Juan Dancers,yes,no,no,no,Durango/LaPlata Senior Ctr,"2424 Main Ave., Durango, CO",CO,,,,,,(970) 884-1338,Richard Berry,""
Delta Hub Wheelers,yes,no,no,no,Lincoln Elementary School,"1050 Hastings Street, Delta, CO",CO,,,,1st & 3rd Saturday,,(970) 249-4858,Larry Schulz,""
Chatfield Country Kickers,yes,no,no,no,VFW Post 3981 Hall,"503 1/2 Florence Rd, Grand Junction, CO",CO,,,,1st & 3rd Saturday,,"(970) 434-0868, (970) 434-0868",Pat McBride,""
Four Corners Dancers,yes,no,no,no,Kemper Elementary School,"620 East Montezuma Avenue, Cortez, CO",CO,,,,1st & 3rd Saturday,,(970) 565-9836,Richard Berry,http://fourcornersdancers.homestead.com/
Black Canyon Twirlers,yes,no,no,no,Lions Clubhouse,"N 7th St. & Nevada, Montros, CO",CO,,,,2nd & 4th Saturday,,(970) 901-5859,Guest Caller,""
Enchanted Dancers,yes,no,no,no,Raindrops,"4001 East Main Street, Farmington, NM",NM,,,,2nd & 4th Saturday,,(505) 325-2761,Lloyd Husted / Barbara Tucker,""
Gunnison Gorge Dancers,yes,no,no,no,Gunnison Community Center,"200 E. Spencer, Gunnison, CO",CO,,,,,,(970) 596-4252,Ervin Wyatt,http://www.cosquaredancing.com/ggd/
Gunnison Gorge Dancers,yes,no,no,no,Cunnison Community Center,"200 Spencer, Gunnison, CO",CO,,,,2nd & 4th Sunday,,(970) 596-4252,Ervin Wyatt,http://www.cosquaredancing.com/ggd/
Greenridge Mountaineers,yes,no,no,no,Legion Hall,"1420 Ogden Street #103, Denver, CO",CO,,,,,,(970) 824-3396,Jim Kline,""
