Name,M,P,A,R,Location,Address,State,Directions,Lat,Lng,Schedule,Time,Contact,Caller,Website,Status
TNT,yes,yes,no,no,Ottawa High School,"11th & Ash, Ottawa, KS",KS,,,,,19:30,(785) 242-6833,,
Wheatheart Squares,yes,no,no,no,Croco Hall,"6115 SE US Hwy. 40, Topeka, KS",KS,,,,every other Friday ,19:30,(785) 224-7743,,
Camping Squares of Kansas,yes,no,no,no,Sept. 2nd Sat.,"7:30 PM, Camping Sites, KS",KS,,,,Sept. 2nd Sat.; Dec. 1st Sun,19:30,(316) 323-3205,,
Cessquares,yes,no,no,no,Cessna Activity Center,"2744  South George Washington Blvd., Wichita, KS",KS,,,,June & Dec. 1st Saturday,19:30,(316) 721-2190,,
Chelsea Swingin' Squares,yes,no,no,no,North Addition,"El Dorado Senior Center, El Dorado, KS",KS,,,,1st & 3rd Saturday,19:00,(316) 320-9673,,
Circle 8,yes,no,no,no,Chisholm Middle School,"900 East First Street, Newton, KS",KS,,,,2nd & 4th Sunday,19:00,(620) 983-1919,,
Classics,yes,no,yes,no,Ascension Lutheran Church,"842 North Tyler Road, Wichita, KS",KS,,,,3rd & 5th Thursdayr.,19:00,"",,
Derby Barn Dance Club,yes,no,no,no,Oaklawn Activity Center,"4904 South Clifton, Wichita, KS",KS,,,,1st Saturdayurday of the month,18:30,(316) 841-2357,,
E-Mail: Iamgary48@yahoo.com,yes,no,no,no,,,KS,,,,,,"",,
Do-Si-Do,yes,no,no,no,Central Park Pavillion,"101 West Forest, Chanute, KS",KS,,,,2nd & 4th Saturday,20:00,(620) 431-9434,,
Good Time Squares,yes,no,no,no,Dawson United Methodist Church,"2741 S. Laura, Wichita, KS",KS,,,,every Tuesday,19:00,(316) 687-5713,,
Harper County Square Dancers,yes,no,no,no,3rd Sun.,"2:30 PM, (check schedule or call for location), KS",KS,,,,3rd Sunday,14:30,(620) 842-3520,,
Kansas Kountree Kloggers (clogging),no,no,no,no,Kiwanis Park,"5105 W. 2nd Street, Wichita, KS",KS,,,,every Monday,18:00,(316) 254-0997,,
Merry-Go-Rounders,yes,no,no,no,Elementary School,"300 E. Amos, Hesston, KS",KS,,,,some Sundays,,(316) 522-2315,,
Shoe Scuffers,yes,no,no,no,Middle School,"100 North Ridge Road, Hesston, KS",KS,,,,1st & 3rd Saturday,19:30,"",,
State Fair Promenaders,yes,no,no,no,Elmdale Commnity Center,"400 East Avenue E, Hutchinson, KS",KS,,,,2nd Friday & 4th Saturday,19:30,"(620) 585-2115, (620) 727-2157",,
Village Steppers,yes,no,no,no,Oaklawn Activity Center,"4904 S Cliffton, Wichita, KS",KS,,,,2nd & 4th Saturday,19:30,"(316) 219-0100, (316) 721-6718",,
Westside Steppers,yes,no,no,no,St. Francis of Assisi Church,"St. Clare Hall, Wichita, KS",KS,,,,1st & 3rd Sunday,19:00,(316) 670-0098,,http://www.kssquaredancing.com
Wichita Solo's,yes,no,no,no,Southwest Presbyterian Church,"1511 W. 27th Street South, Wichita, KS",KS,,,,1st & 3rd Friday,19:30,(316) 522-9179,,
Shooting Stars Singles,yes,no,no,no,Roosevelt Elementary Gym,"2000 Mac Arthur Road, Hays, KS",KS,,,,Various Saturday & Sunday,20:00,(785) 625-6846,,
Swinging Stars,yes,no,no,no,Municipal Auditorium,"1st & Walnut, Hoisington, KS",KS,,,,2nd & 4th Tuesday,20:00,(785) 252-3441,,
